date,SIRI,isPartial
2021-07-25,72,False
2021-07-26,59,False
2021-07-27,63,False
2021-07-28,61,False
2021-07-29,67,False
2021-07-30,62,False
2021-07-31,68,False
2021-08-01,65,False
2021-08-02,57,False
2021-08-03,62,False
2021-08-04,61,False
2021-08-05,61,False
2021-08-06,68,False
2021-08-07,71,False
2021-08-08,68,False
2021-08-09,63,False
2021-08-10,67,False
2021-08-11,59,False
2021-08-12,65,False
2021-08-13,67,False
2021-08-14,71,False
2021-08-15,67,False
2021-08-16,65,False
2021-08-17,62,False
2021-08-18,73,False
2021-08-19,65,False
2021-08-20,71,False
2021-08-21,66,False
2021-08-22,70,False
2021-08-23,63,False
2021-08-24,68,False
2021-08-25,58,False
2021-08-26,62,False
2021-08-27,69,False
2021-08-28,73,False
2021-08-29,60,False
2021-08-30,70,False
2021-08-31,63,False
2021-09-01,65,False
2021-09-02,65,False
2021-09-03,71,False
2021-09-04,77,False
2021-09-05,90,False
2021-09-06,70,False
2021-09-07,70,False
2021-09-08,69,False
2021-09-09,72,False
2021-09-10,69,False
2021-09-11,76,False
2021-09-12,75,False
2021-09-13,75,False
2021-09-14,67,False
2021-09-15,69,False
2021-09-16,70,False
2021-09-17,70,False
2021-09-18,68,False
2021-09-19,75,False
2021-09-20,62,False
2021-09-21,75,False
2021-09-22,78,False
2021-09-23,80,False
2021-09-24,75,False
2021-09-25,79,False
2021-09-26,74,False
2021-09-27,72,False
2021-09-28,73,False
2021-09-29,73,False
2021-09-30,71,False
2021-10-01,74,False
2021-10-02,81,False
2021-10-03,78,False
2021-10-04,70,False
2021-10-05,71,False
2021-10-06,67,False
2021-10-07,65,False
2021-10-08,69,False
2021-10-09,76,False
2021-10-10,80,False
2021-10-11,69,False
2021-10-12,70,False
2021-10-13,67,False
2021-10-14,67,False
2021-10-15,70,False
2021-10-16,80,False
2021-10-17,73,False
2021-10-18,65,False
2021-10-19,71,False
2021-10-20,76,False
2021-10-21,79,False
2021-10-22,79,False
2021-10-23,82,False
2021-10-24,80,False
2021-10-25,85,False
2021-10-26,69,False
2021-10-27,72,False
2021-10-28,88,False
2021-10-29,80,False
2021-10-30,80,False
2021-10-31,79,False
2021-11-01,78,False
2021-11-02,69,False
2021-11-03,74,False
2021-11-04,75,False
2021-11-05,71,False
2021-11-06,81,False
2021-11-07,82,False
2021-11-08,71,False
2021-11-09,67,False
2021-11-10,71,False
2021-11-11,70,False
2021-11-12,72,False
2021-11-13,76,False
2021-11-14,79,False
2021-11-15,66,False
2021-11-16,77,False
2021-11-17,67,False
2021-11-18,71,False
2021-11-19,83,False
2021-11-20,79,False
2021-11-21,87,False
2021-11-22,75,False
2021-11-23,70,False
2021-11-24,75,False
2021-11-25,80,False
2021-11-26,75,False
2021-11-27,84,False
2021-11-28,79,False
2021-11-29,67,False
2021-11-30,72,False
2021-12-01,77,False
2021-12-02,70,False
2021-12-03,74,False
2021-12-04,81,False
2021-12-05,78,False
2021-12-06,72,False
2021-12-07,70,False
2021-12-08,72,False
2021-12-09,73,False
2021-12-10,65,False
2021-12-11,81,False
2021-12-12,84,False
2021-12-13,71,False
2021-12-14,71,False
2021-12-15,68,False
2021-12-16,70,False
2021-12-17,78,False
2021-12-18,90,False
2021-12-19,94,False
2021-12-20,81,False
2021-12-21,81,False
2021-12-22,80,False
2021-12-23,76,False
2021-12-24,85,False
2021-12-25,100,False
2021-12-26,93,False
2021-12-27,93,False
2021-12-28,85,False
2021-12-29,85,False
2021-12-30,86,False
2021-12-31,93,False
2022-01-01,51,False
2022-01-02,47,False
2022-01-03,54,False
2022-01-04,100,False
2022-01-05,43,False
2022-01-06,44,False
2022-01-07,52,False
2022-01-08,54,False
2022-01-09,50,False
2022-01-10,40,False
2022-01-11,43,False
2022-01-12,43,False
2022-01-13,35,False
2022-01-14,34,False
2022-01-15,44,False
2022-01-16,70,False
2022-01-17,37,False
2022-01-18,38,False
2022-01-19,35,False
2022-01-20,37,False
2022-01-21,38,False
2022-01-22,47,False
2022-01-23,47,False
2022-01-24,34,False
2022-01-25,37,False
2022-01-26,37,False
2022-01-27,37,False
2022-01-28,38,False
2022-01-29,43,False
2022-01-30,45,False
2022-01-31,39,False
2022-02-01,36,False
2022-02-02,39,False
