date,WBA,isPartial
2010-11-27,36,False
2010-11-28,35,False
2010-11-29,30,False
2010-11-30,22,False
2010-12-01,36,False
2010-12-02,23,False
2010-12-03,22,False
2010-12-04,31,False
2010-12-05,49,False
2010-12-06,35,False
2010-12-07,23,False
2010-12-08,24,False
2010-12-09,23,False
2010-12-10,30,False
2010-12-11,49,False
2010-12-12,37,False
2010-12-13,25,False
2010-12-14,27,False
2010-12-15,29,False
2010-12-16,25,False
2010-12-17,22,False
2010-12-18,38,False
2010-12-19,34,False
2010-12-20,25,False
2010-12-21,20,False
2010-12-22,22,False
2010-12-23,25,False
2010-12-24,24,False
2010-12-25,26,False
2010-12-26,64,False
2010-12-27,42,False
2010-12-28,46,False
2010-12-29,33,False
2010-12-30,26,False
2010-12-31,31,False
2011-01-01,100,False
2011-01-02,30,False
2011-01-03,24,False
2011-01-04,40,False
2011-01-05,25,False
2011-01-06,30,False
2011-01-07,23,False
2011-01-08,34,False
2011-01-09,24,False
2011-01-10,20,False
2011-01-11,25,False
2011-01-12,20,False
2011-01-13,23,False
2011-01-14,24,False
2011-01-15,39,False
2011-01-16,28,False
2011-01-17,29,False
2011-01-18,24,False
2011-01-19,25,False
2011-01-20,22,False
2011-01-21,25,False
2011-01-22,18,False
2011-01-23,29,False
2011-01-24,25,False
2011-01-25,26,False
2011-01-26,20,False
2011-01-27,28,False
2011-01-28,26,False
2011-01-29,26,False
2011-01-30,26,False
2011-01-31,39,False
2011-02-01,46,False
2011-02-02,24,False
2011-02-03,20,False
2011-02-04,18,False
2011-02-05,32,False
2011-02-06,55,False
2011-02-07,35,False
2011-02-08,27,False
2011-02-09,27,False
2011-02-10,25,False
2011-02-11,41,False
2011-02-12,34,False
2011-02-13,27,False
2011-02-14,22,False
2011-02-15,17,False
2011-02-16,19,False
2011-02-17,22,False
2011-02-18,23,False
2011-02-19,25,False
2011-02-20,83,False
2011-02-21,32,False
2011-02-22,26,False
2011-02-23,17,False
2011-02-24,22,False
2011-02-25,15,False
2011-02-26,27,False
2011-02-27,18,False
2011-02-28,44,False
2011-03-01,31,False
2011-03-02,22,False
2011-03-03,20,False
2011-03-04,19,False
2011-03-05,47,False
2011-03-06,28,False
2011-03-07,31,False
2011-03-08,17,False
2011-03-09,18,False
2011-03-10,21,False
2011-03-11,14,False
2011-03-12,14,False
2011-03-13,17,False
2011-03-14,22,False
2011-03-15,18,False
2011-03-16,12,False
2011-03-17,18,False
2011-03-18,22,False
2011-03-19,85,False
2011-03-20,39,False
2011-03-21,22,False
2011-03-22,22,False
2011-03-23,17,False
2011-03-24,18,False
2011-03-25,18,False
2011-03-26,25,False
2011-03-27,14,False
2011-03-28,25,False
2011-03-29,15,False
2011-03-30,20,False
2011-03-31,17,False
2011-04-01,17,False
2011-04-02,54,False
2011-04-03,30,False
2011-04-04,33,False
2011-04-05,25,False
2011-04-06,13,False
2011-04-07,23,False
2011-04-08,21,False
2011-04-09,36,False
2011-04-10,28,False
2011-04-11,29,False
2011-04-12,18,False
2011-04-13,27,False
2011-04-14,19,False
2011-04-15,25,False
2011-04-16,58,False
2011-04-17,34,False
2011-04-18,28,False
2011-04-19,18,False
2011-04-20,24,False
2011-04-21,22,False
2011-04-22,19,False
